Crash Number,Crash Date,Crash Time
4003810,1/25/2013,11:34 AM
4003825,1/28/2013,11:51 PM
4003835,1/31/2013,2:05 PM
4003751,2/18/2013,6:51 AM
4003756,3/8/2013,11:48 AM
4003759,3/11/2013,7:13 AM
4003760,3/11/2013,9:05 PM
4003761,3/13/2013,6:59 PM
4003764,3/20/2013,12:48 PM
4003767,1/10/2013,7:25 PM
4003768,1/10/2013,11:00 PM
3370590,1/12/2013,11:23 AM
3370593,3/13/2013,7:21 AM
3370596,1/10/2013,5:07 PM
3370602,1/27/2013,2:00 AM
3370606,1/22/2013,7:32 AM
3370608,1/22/2013,9:01 AM
3370611,1/20/2013,12:13 PM
3370617,1/10/2013,5:48 PM
3370618,1/16/2013,9:02 AM
3370622,1/16/2013,5:36 AM
3370624,1/7/2013,8:26 AM
3370632,1/5/2013,2:51 PM
3370633,1/28/2013,2:42 PM
3370635,1/28/2013,2:38 PM
3370640,1/20/2013,2:19 AM
3370641,1/22/2013,7:09 AM
3370646,1/17/2013,2:40 PM
3370653,1/27/2013,10:48 AM
3370655,1/16/2013,5:35 PM
3370660,1/2/2013,6:14 PM
3370666,1/12/2013,2:00 AM
3370670,1/21/2013,9:00 PM
3370676,1/31/2013,10:38 PM
3370682,1/25/2013,8:10 PM
3370687,1/24/2013,11:00 AM
3370693,1/21/2013,9:15 AM
3370695,1/19/2013,1:44 PM
3370698,3/11/2013,2:26 PM
3370704,1/26/2013,9:40 AM
3370708,2/28/2013,8:07 AM
3370715,1/27/2013,3:56 PM
3370720,1/23/2013,2:15 PM
3370722,1/28/2013,10:30 AM
3370725,1/17/2013,8:01 PM
3370733,1/9/2013,3:52 PM
3370736,1/16/2013,2:30 PM
3370742,1/17/2013,7:31 PM
3370743,1/18/2013,11:12 AM
3370748,1/19/2013,4:54 PM
3370754,1/20/2013,9:36 PM
3370759,1/3/2013,9:49 AM
3370763,1/16/2013,10:54 AM
3370766,1/4/2013,3:11 PM
3370769,1/7/2013,6:20 PM
3370775,1/25/2013,4:09 PM
3370778,1/29/2013,11:00 AM
3370782,1/25/2013,7:16 AM
3370788,1/28/2013,11:28 PM
3370790,1/23/2013,8:20 PM
3370791,1/12/2013,10:58 AM
3370793,1/30/2013,5:41 PM
3370802,2/12/2013,7:40 AM
3370804,3/7/2013,11:46 AM
3370808,3/7/2013,6:15 PM
3370814,3/13/2013,4:17 PM
3370815,3/15/2013,1:00 AM
3370822,3/19/2013,7:11 AM
3370825,3/19/2013,3:25 PM
3370827,3/19/2013,5:37 AM
3370828,3/14/2013,10:35 PM
3370830,3/15/2013,10:33 PM
3370838,1/27/2013,2:16 AM
3370841,1/26/2013,7:20 PM
3370846,1/24/2013,9:14 AM
3370850,1/24/2013,11:15 AM
3370851,3/13/2013,1:30 PM
3370858,1/27/2013,12:30 PM
3370859,3/6/2013,2:52 PM
3370861,1/24/2013,1:10 PM
3370863,1/27/2013,1:03 PM
3349847,1/25/2013,11:09 PM
3349849,2/2/2013,3:57 AM
3349850,2/3/2013,7:34 AM
3349851,2/3/2013,1:31 PM
3349853,2/4/2013,7:36 PM
3349855,1/29/2013,1:02 PM
3349856,2/3/2013,6:10 AM
3349869,1/5/2013,1:59 PM
3349935,2/1/2013,7:35 PM
3349946,2/3/2013,00:00 AM
3349951,2/3/2013,5:48 PM
3349957,2/4/2013,2:05 PM
3349964,1/30/2013,2:20 PM
3349965,1/30/2013,5:37 PM
3349966,2/2/2013,10:57 AM
3349975,1/19/2013,10:50 AM
3349978,1/8/2013,11:55 AM
3349980,1/11/2013,7:20 AM
3349985,1/29/2013,10:18 AM
3349987,1/30/2013,3:31 PM
3349988,1/31/2013,9:25 AM
3349995,2/3/2013,5:15 PM
3349997,1/30/2013,6:15 PM
3349999,2/2/2013,8:00 AM
3350004,1/4/2013,4:38 PM
4003709,2/7/2013,9:25 PM
4003723,1/4/2013,9:51 PM
4003754,2/28/2013,10:40 PM
4003755,3/2/2013,2:46 PM
4003758,3/9/2013,11:12 PM
4003766,3/23/2013,11:46 AM
4003814,1/26/2013,1:13 PM
3370594,1/25/2013,7:44 PM
3370597,1/24/2013,10:04 PM
3370598,1/14/2013,1:50 PM
3370605,1/28/2013,5:40 PM
3370610,1/15/2013,5:35 PM
3370615,1/8/2013,3:47 AM
3370621,1/16/2013,5:50 AM
3370623,1/9/2013,1:20 PM
3370626,1/15/2013,12:59 PM
3370627,1/18/2013,3:44 PM
3370628,1/10/2013,8:54 AM
3370629,1/15/2013,2:57 PM
3370631,1/28/2013,5:47 PM
3370636,1/16/2013,10:07 PM
3370644,1/17/2013,9:56 PM
3370649,1/26/2013,1:22 AM
3370651,1/24/2013,7:25 AM
3370654,1/26/2013,1:13 PM
3370656,1/13/2013,3:09 PM
3370657,1/16/2013,7:21 AM
3370659,1/10/2013,9:39 PM
3370668,1/26/2013,8:34 PM
3370678,1/25/2013,4:39 PM
3370679,1/25/2013,4:00 PM
3370681,1/25/2013,12:15 PM
3370685,1/25/2013,00:00 AM
3370686,1/24/2013,12:15 PM
